iter	RMSE
529	8601.703013
530	8589.301851
531	8579.825435
532	8570.555986
533	8554.07769
534	8542.182531
535	8529.511193
536	8507.871686
537	8499.913355
538	8498.082024
539	8481.218053
540	8480.029433
541	8465.643717
542	8452.986197
543	8446.105954
544	8444.543232
545	8438.818334
546	8431.315475
547	8428.307349
548	8414.948482
549	8395.469953
550	8384.084576
551	8373.941924
552	8359.64957
553	8339.304125
554	8327.517817
555	8323.52002
556	8314.726465
557	8299.222444
558	8288.435755
559	8278.438041
560	8268.924145
561	8259.264216
562	8246.301667
563	8226.185931
564	8213.688058
565	8193.135844
566	8187.461198
567	8180.741428
568	8179.228041
569	8170.937785
570	8152.250085
571	8146.273768
572	8136.794342
573	8135.510971
574	8118.768783
575	8116.557233
576	8098.141897
577	8096.481182
578	8082.725991
579	8069.81109
580	8056.262429
581	8041.636722
582	8037.747115
583	8030.110101
584	8017.890719
585	8005.417244
586	8003.696647
587	7993.146103
588	7991.896442
589	7990.280921
590	7972.676576
591	7962.088208
592	7946.588957
593	7934.337226
594	7923.280092
595	7910.049118
596	7897.908477
597	7884.491523
598	7872.852327
599	7861.993455
600	7855.229968
601	7844.441259
602	7838.050244
603	7821.941348
604	7805.615218
605	7788.149432
606	7773.103017
607	7756.876401
608	7743.726845
609	7740.94945
610	7737.807684
611	7736.499589
612	7732.170175
613	7722.932841
614	7710.181564
615	7695.060007
616	7686.850423
617	7678.833381
618	7659.824216
619	7646.960424
620	7636.269084
621	7628.535127
622	7620.765632
623	7618.823679
624	7611.478623
625	7610.450329
626	7588.145801
627	7579.081193
628	7567.470226
629	7566.207578
630	7554.473817
631	7539.678896
632	7528.013348
633	7526.318154
634	7518.334005
635	7513.161897
636	7511.286902
637	7496.766773
638	7484.787429
639	7466.650592
640	7465.310827
641	7452.559343
642	7441.322031
643	7439.483465
644	7437.112997
645	7434.797897
646	7423.417118
647	7409.79746
648	7400.917537
649	7388.900895
650	7382.208134
651	7381.056652
652	7376.798387
653	7375.966233
654	7356.482839
655	7351.585458
656	7333.441461
657	7329.213329
658	7320.891791
659	7313.151724
660	7300.195278
